agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
000156,TRN/Auto (Service d'automobiles TRN(vr)),http://www.sbb.ch,Europe/Berlin,,
000151,TL (Transport publics de la Région Lausannoise),http://www.sbb.ch,Europe/Berlin,,
000153,TRN-tn (Transports Publics Neuchâtelois SA (tn)),http://www.sbb.ch,Europe/Berlin,,
000094,WB (Waldenburgerbahn),http://www.sbb.ch,Europe/Berlin,,
000097,TRAVYS-y (Transports Vallée de Joux-Yverdon-Ste-Croix (ystec)),http://www.sbb.ch,Europe/Berlin,,
000832,AWA (Autobetrieb Weesen-Amden),http://www.sbb.ch,Europe/Berlin,,
007078,BGB (Busbetrieb Gemeinde Bergün),http://www.sbb.ch,Europe/Berlin,,
007079,PRH (PRO REGIO HUTTWIL Verkehrsverein),http://www.sbb.ch,Europe/Berlin,,
007077,MTB (Mountain Tour Bergün GmbH),http://www.sbb.ch,Europe/Berlin,,
000280,LSG (Stalden-Gspon),http://www.sbb.ch,Europe/Berlin,,
000886,RVBW (Regionale Verkehrsbetriebe Baden-Wettingen),http://www.sbb.ch,Europe/Berlin,,
000843,AOT (Autokurse Oberthurgau),http://www.sbb.ch,Europe/Berlin,,
000840,BBA (Busbetrieb Aarau),http://www.sbb.ch,Europe/Berlin,,
000841,AAGS (Auto AG Schwyz),http://www.sbb.ch,Europe/Berlin,,
000846,RVSH (Regionale Verkehrsbetriebe Schaffhausen),http://www.sbb.ch,Europe/Berlin,,
007001,Extrabus (Events / Manifestations / Eventi),http://www.sbb.ch,Europe/Berlin,,
007000,Extrabus (Interimsfahrplan / Horaire interimaire / Orario ad interim),http://www.sbb.ch,Europe/Berlin,,
000741,BNP (Bus Nyon-Prangins),http://www.sbb.ch,Europe/Berlin,,
000740,VBD (Verkehrsbetrieb der Landschaft Davos),http://www.sbb.ch,Europe/Berlin,,
000067,TRAVYS-o (Transports Vallée de Joux-Yverdon-Ste-Croix (oc)),http://www.sbb.ch,Europe/Berlin,,
000263,LFüB (Fürgangen-Bellwald),http://www.sbb.ch,Europe/Berlin,,
000885,VBSG (Verkehrsbetriebe der Stadt St.Gallen),http://www.sbb.ch,Europe/Berlin,,
000819,ARAG (Automobil Rottal AG),http://www.sbb.ch,Europe/Berlin,,
000818,TPC/Auao (Service d'automobiles TPC (aomc auto)),http://www.sbb.ch,Europe/Berlin,,
000738,TPN (Transports Publics de la Région Nyonnaise),http://www.sbb.ch,Europe/Berlin,,
000817,FART Aut (Autolinee FART),http://www.sbb.ch,Europe/Berlin,,
000816,AAGU (Auto AG Uri),http://www.sbb.ch,Europe/Berlin,,
000811,AAGL (Autobus AG Liestal),http://www.sbb.ch,Europe/Berlin,,
000810,BLWE (Busbetrieb Lichtensteig-Wattwil-Ebnat-Kappel),http://www.sbb.ch,Europe/Berlin,,
000813,AFA (Autoverkehr Frutigen-Adelboden),http://www.sbb.ch,Europe/Berlin,,
000812,AAGR (Auto AG Rothenburg),http://www.sbb.ch,Europe/Berlin,,
000702,SBB Bus (Automobildienst SBB),http://www.sbb.ch,Europe/Berlin,,
000792,TRN/tc (Transports Publics Neuchâtelois SA (tc)),http://www.sbb.ch,Europe/Berlin,,
000793,BOGG (Busbetrieb Olten-Gösgen-Gäu),http://www.sbb.ch,Europe/Berlin,,
007031,AVB (Aroser Verkehrsbetriebe),http://www.sbb.ch,Europe/Berlin,,
000796,TRN/Autr (Service d'automobiles TRN (rvt Auto)),http://www.sbb.ch,Europe/Berlin,,
003002,ALEX (Aletsch-Express Riederalp-Bettmeralp),http://www.sbb.ch,Europe/Berlin,,
007038,LEE Bus (Autobusbetrieb LEE),http://www.sbb.ch,Europe/Berlin,,
000799,VBH (Verkehrsbetriebe Herisau),http://www.sbb.ch,Europe/Berlin,,
000142,SMC (Sierre-Montana-Crans),http://www.sbb.ch,Europe/Berlin,,
007062,OTL (Office du tourisme de Leysin),http://www.sbb.ch,Europe/Berlin,,
000222,SMF-lsm (Sportbahnen Melchsee-Frutt (lsm)),http://www.sbb.ch,Europe/Berlin,,
000037,BLT (Baselland Transport),http://www.sbb.ch,Europe/Berlin,,
000035,BOB (Berner Oberland-Bahnen),http://www.sbb.ch,Europe/Berlin,,
000031,BDWM-bd (BDWM Transport (bd)),http://www.sbb.ch,Europe/Berlin,,
007027,WSU (Walker's Söhne Urnerboden),http://www.sbb.ch,Europe/Berlin,,
007069,AUT (Andermatt-Urserntal Tourismus GmbH),http://www.sbb.ch,Europe/Berlin,,
000354,SBG (Südbadenbus GmbH),http://www.sbb.ch,Europe/Berlin,,
007067,BOG (Busbetrieb Oberems-Gruben),http://www.sbb.ch,Europe/Berlin,,
000290,LTUO (Turtmann-Unterems-Oberems),http://www.sbb.ch,Europe/Berlin,,
007063,WTZ (Walter Tschannen Zofingen),http://www.sbb.ch,Europe/Berlin,,
000850,RBS Auto (Autobusbetrieb RBS),http://www.sbb.ch,Europe/Berlin,,
000853,TSD-asdt (Theytaz Excursions Sion),http://www.sbb.ch,Europe/Berlin,,
000852,TPC/Autb (Service d'automobiles TPC (bvb auto)),http://www.sbb.ch,Europe/Berlin,,
000855,LLB (Auto Leuk-Leukerbad),http://www.sbb.ch,Europe/Berlin,,
000856,AS (Autobetrieb Sernftal),http://www.sbb.ch,Europe/Berlin,,
000858,ARL (Autolinee Regionali Luganesi),http://www.sbb.ch,Europe/Berlin,,
000772,BRER (Busbetrieb Rapperswil-Eschenbach-Rüti ZH),http://www.sbb.ch,Europe/Berlin,,
000773,VBG (Verkehrsbetriebe Glattal),http://www.sbb.ch,Europe/Berlin,,
000072,RhB (Rhätische Bahn),http://www.sbb.ch,Europe/Berlin,,
000074,RA (Regionalps),http://www.sbb.ch,Europe/Berlin,,
000820,VBL (Verkehrsbetriebe Luzern),http://www.sbb.ch,Europe/Berlin,,
000823,BVB (Basler Verkehrsbetriebe),http://www.sbb.ch,Europe/Berlin,,
000826,BOS/wimo (Bus Ostschweiz (Wil)),http://www.sbb.ch,Europe/Berlin,,
000827,SVB Auto (Städtische Verkehrsbetriebe Bern),http://www.sbb.ch,Europe/Berlin,,
000955,TPL (Trasporti Pubblici Luganesi),http://www.sbb.ch,Europe/Berlin,,
000736,AMSA (Autolinea Mendrisiense SA),http://www.sbb.ch,Europe/Berlin,,
000737,SNL Auto (Servizio d'automobili),http://www.sbb.ch,Europe/Berlin,,
000731,AVJ (Autotransports de la Vallée de Joux),http://www.sbb.ch,Europe/Berlin,,
007025,BKG (Busbetrieb Kandersteg - Gasterntal),http://www.sbb.ch,Europe/Berlin,,
000138,BOS/rtb (Bus Ostschweiz (Rheintal)),http://www.sbb.ch,Europe/Berlin,,
000048,MGB-fo (Matterhorn Gotthard Bahn (fo)),http://www.sbb.ch,Europe/Berlin,,
000043,CJ (Chemins de fer du Jura),http://www.sbb.ch,Europe/Berlin,,
000044,TRN-cmn (Transports Publics Neuchâtelois SA (cmn)),http://www.sbb.ch,Europe/Berlin,,
007030,SSM (Skilift Schilt AG 8753 Mollis),http://www.sbb.ch,Europe/Berlin,,
007037,SBB Auto (SBB Auto Bahnersatz),http://www.sbb.ch,Europe/Berlin,,
007059,EBZ (Elektrobus Zermatt),http://www.sbb.ch,Europe/Berlin,,
007050,ZB Bus F (ZB Bus Fahrplanbedürfnisse),http://www.sbb.ch,Europe/Berlin,,
007052,GSUR (Gemeinde Sur),http://www.sbb.ch,Europe/Berlin,,
007053,BüBu (Bürgerbus Hellsau-Höchstetten-Willadingen-Koppigen),http://www.sbb.ch,Europe/Berlin,,
000744,AB Auto (Automobildienst Appenzeller Bahnen),http://www.sbb.ch,Europe/Berlin,,
007055,FCK (Funicar Kursbetriebe AG Biel),http://www.sbb.ch,Europe/Berlin,,
007057,BPB (Bus Personico-Bodio),http://www.sbb.ch,Europe/Berlin,,
000868,TRAVYS/a (Transports Vallée de Joux-Yverdon-Ste-Croix (auto ystec)),http://www.sbb.ch,Europe/Berlin,,
000865,RhB Auto (Autoverkehr RhB),http://www.sbb.ch,Europe/Berlin,,
000862,ABl (Autolinee Bleniesi),http://www.sbb.ch,Europe/Berlin,,
000882,SBW (Stadtbus Winterthur),http://www.sbb.ch,Europe/Berlin,,
000883,BSU (Busbetrieb Solothurn und Umgebung),http://www.sbb.ch,Europe/Berlin,,
000881,TPG (Transports Publics Genevois),http://www.sbb.ch,Europe/Berlin,,
000766,SBC (Stadtbus Chur),http://www.sbb.ch,Europe/Berlin,,
000764,MBC Auto (Automobiles MBC),http://www.sbb.ch,Europe/Berlin,,
000888,ASGS (Autotransports Sion-Grône-Sierre),http://www.sbb.ch,Europe/Berlin,,
000889,VB (Verkehrsbetriebe der Stadt Biel),http://www.sbb.ch,Europe/Berlin,,
000089,AB-tb (Appenzeller Bahnen (tb)),http://www.sbb.ch,Europe/Berlin,,
000143,SMtS (Funiculaire Saint-Imier-Mont-Soleil SA),http://www.sbb.ch,Europe/Berlin,,
000849,VBZ (Verkehrsbetriebe Zürich),http://www.sbb.ch,Europe/Berlin,,
000146,STI (Verkehrsbetriebe STI AG),http://www.sbb.ch,Europe/Berlin,,
000797,SBF (Stadtbus Frauenfeld),http://www.sbb.ch,Europe/Berlin,,
000422,FS Domo (Iselle transito-Domodossola),http://www.sbb.ch,Europe/Berlin,,
007081,VNB (Verein Naturpark Beverin),http://www.sbb.ch,Europe/Berlin,,
007080,BALA (Bus alpin Lombachalp),http://www.sbb.ch,Europe/Berlin,,
000727,VSK-bkk (Verkehrsbetriebe Kreuzlingen),http://www.sbb.ch,Europe/Berlin,,
000836,VBSH (Verkehrsbetriebe Schaffhausen),http://www.sbb.ch,Europe/Berlin,,
000835,TMR Auto (Service d'automobiles TMR),http://www.sbb.ch,Europe/Berlin,,
000834,TPF Auto (Service d'automobiles TPF),http://www.sbb.ch,Europe/Berlin,,
000833,CJ Auto (Automobiles CJ),http://www.sbb.ch,Europe/Berlin,,
007019,BA-bgh (Bergbahnen Adelboden AG),http://www.sbb.ch,Europe/Berlin,,
007017,BBO (Gemeinde St. Gallenkappel),http://www.sbb.ch,Europe/Berlin,,
000839,ZVB (Zugerland Verkehrsbetriebe),http://www.sbb.ch,Europe/Berlin,,
000838,VZO (Verkehrsbetriebe Zürichsee und Oberland),http://www.sbb.ch,Europe/Berlin,,
000896,REGO (Regiobus Gossau SG),http://www.sbb.ch,Europe/Berlin,,
003849,VBZ    F (Verkehrsbetriebe Zürich INFO+),http://www.sbb.ch,Europe/Berlin,,
000807,SZU Auto (Automobildienst SZU),http://www.sbb.ch,Europe/Berlin,,
000801,PAG (PostAuto Schweiz),http://www.sbb.ch,Europe/Berlin,,
000879,BLT Auto (Auto BLT),http://www.sbb.ch,Europe/Berlin,,
007051,Kröbu (Kröschenbrunnen Bus),http://www.sbb.ch,Europe/Berlin,,
000873,RBL (Regionalbus Lenzburg),http://www.sbb.ch,Europe/Berlin,,
000871,BLAG (Busland AG),http://www.sbb.ch,Europe/Berlin,,
000870,ASM Auto (Automobildienste Aare Seeland mobil),http://www.sbb.ch,Europe/Berlin,,
000876,VMCV (Transports publics Vevey-Montreux-Chillon-Villeneuve),http://www.sbb.ch,Europe/Berlin,,
000899,BDWM/Aut (BDWM Transport (wm Auto)),http://www.sbb.ch,Europe/Berlin,,
000895,TRAVYS/t (Transports Vallée de Joux-Yverdon-Ste-Croix (tpyg)),http://www.sbb.ch,Europe/Berlin,,
000894,BGU (Busbetrieb Grenchen und Umgebung),http://www.sbb.ch,Europe/Berlin,,
000719,SAPJV (Société des Auto-transports du Pied du Jura Vaudois),http://www.sbb.ch,Europe/Berlin,,
000716,OBSM (Ortsbus St. Moritz),http://www.sbb.ch,Europe/Berlin,,
000714,BS (Bus Sierrois),http://www.sbb.ch,Europe/Berlin,,
007047,SUTU (Sumvitg Turissem),http://www.sbb.ch,Europe/Berlin,,
007046,OUW (Bürgerbus Kleindietwil-Oeschenbach-Walterswil),http://www.sbb.ch,Europe/Berlin,,
007045,GHU (Bürgerbus Gondiswil-Huttwil-Ufhusen),http://www.sbb.ch,Europe/Berlin,,
007044,WETA (Bürgerbus Walperswil-Epsach-Täuffelen-Aarberg),http://www.sbb.ch,Europe/Berlin,,
007042,BLS BusF (BLS Bus Fahrplanbedürfnisse),http://www.sbb.ch,Europe/Berlin,,
